Code,Title,Extension
aa,Afar,Document Details
ab,Abkhazian,Document Details
ae,Avestan,Document Details
af,Afrikaans,Document Details
ak,Akan,Document Details
am,Amharic,Document Details
an,Aragonese,Document Details
ar,Arabic,Document Details
as,Assamese,Document Details
av,Avaric,Document Details
ay,Aymara,Document Details
az,Azerbaijani,Document Details
ba,Bashkir,Document Details
be,Belarusian,Document Details
bg,Bulgarian,Document Details
bh,Bihari languages,Document Details
bi,Bislama,Document Details
bm,Bambara,Document Details
bn,Bengali,Document Details
bo,Tibetan,Document Details
br,Breton,Document Details
bs,Bosnian,Document Details
ca,"Catalan, Valencian",Document Details
ce,Chechen,Document Details
ch,Chamorro,Document Details
co,Corsican,Document Details
cr,Cree,Document Details
cs,Czech,Document Details
cu,"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",Document Details
cv,Chuvash,Document Details
cy,Welsh,Document Details
da,Danish,Document Details
de,German,Document Details
dv,"Divehi, Dhivehi, Maldivian",Document Details
dz,Dzongkha,Document Details
ee,Ewe,Document Details
el,Modern Greek,Document Details
en,English,Document Details
eo,Esperanto,Document Details
es,"Spanish, Castilian",Document Details
et,Estonian,Document Details
eu,Basque,Document Details
fa,Persian,Document Details
ff,Fulah,Document Details
fi,Finnish,Document Details
fj,Fijian,Document Details
fo,Faroese,Document Details
fr,French,Document Details
fy,Western Frisian,Document Details
ga,Irish,Document Details
gd,"Gaelic, Scottish Gaelic",Document Details
gl,Galician,Document Details
gn,Guarani,Document Details
gu,Gujarati,Document Details
gv,Manx,Document Details
ha,Hausa,Document Details
he,Hebrew,Document Details
hi,Hindi,Document Details
ho,Hiri Motu,Document Details
hr,Croatian,Document Details
ht,"Haitian, Haitian Creole",Document Details
hu,Hungarian,Document Details
hy,Armenian,Document Details
hz,Herero,Document Details
ia,Interlingua,Document Details
id,Indonesian,Document Details
ie,"Interlingue, Occidental",Document Details
ig,Igbo,Document Details
ii,"Sichuan Yi, Nuosu",Document Details
ik,Inupiaq,Document Details
io,Ido,Document Details
is,Icelandic,Document Details
it,Italian,Document Details
iu,Inuktitut,Document Details
ja,Japanese,Document Details
jv,Javanese,Document Details
ka,Georgian,Document Details
kg,Kongo,Document Details
ki,"Kikuyu, Gikuyu",Document Details
kj,"Kuanyama, Kwanyama",Document Details
kk,Kazakh,Document Details
kl,"Kalaallisut, Greenlandic",Document Details
km,Central Khmer,Document Details
kn,Kannada,Document Details
ko,Korean,Document Details
kr,Kanuri,Document Details
ks,Kashmiri,Document Details
ku,Kurdish,Document Details
kv,Komi,Document Details
kw,Cornish,Document Details
ky,"Kirghiz, Kyrgyz",Document Details
la,Latin,Document Details
lb,"Luxembourgish, Letzeburgesch",Document Details
lg,Ganda,Document Details
li,"Limburgan, Limburger, Limburgish",Document Details
ln,Lingala,Document Details
lo,Lao,Document Details
lt,Lithuanian,Document Details
lu,Luba-Katanga,Document Details
lv,Latvian,Document Details
mg,Malagasy,Document Details
mh,Marshallese,Document Details
mi,Maori,Document Details
mk,Macedonian,Document Details
ml,Malayalam,Document Details
mn,Mongolian,Document Details
mr,Marathi,Document Details
ms,Malay,Document Details
mt,Maltese,Document Details
my,Burmese,Document Details
na,Nauru,Document Details
nb,Norwegian Bokmål,Document Details
nd,North Ndebele,Document Details
ne,Nepali,Document Details
ng,Ndonga,Document Details
nl,"Dutch, Flemish",Document Details
nn,Norwegian Nynorsk,Document Details
no,Norwegian,Document Details
nr,South Ndebele,Document Details
nv,"Navajo, Navaho",Document Details
ny,"Chichewa, Chewa, Nyanja",Document Details
oc,Occitan,Document Details
oj,Ojibwa,Document Details
om,Oromo,Document Details
or,Oriya,Document Details
os,"Ossetian, Ossetic",Document Details
pa,"Panjabi, Punjabi",Document Details
pi,Pali,Document Details
pl,Polish,Document Details
ps,"Pushto, Pashto",Document Details
pt,Portuguese,Document Details
qu,Quechua,Document Details
rm,Romansh,Document Details
rn,Rundi,Document Details
ro,"Romanian, Moldavian, Moldovan",Document Details
ru,Russian,Document Details
rw,Kinyarwanda,Document Details
sa,Sanskrit,Document Details
sc,Sardinian,Document Details
sd,Sindhi,Document Details
se,Northern Sami,Document Details
sg,Sango,Document Details
si,"Sinhala, Sinhalese",Document Details
sk,Slovak,Document Details
sl,Slovenian,Document Details
sm,Samoan,Document Details
sn,Shona,Document Details
so,Somali,Document Details
sq,Albanian,Document Details
sr,Serbian,Document Details
ss,Swati,Document Details
st,Southern Sotho,Document Details
su,Sundanese,Document Details
sv,Swedish,Document Details
sw,Swahili,Document Details
ta,Tamil,Document Details
te,Telugu,Document Details
tg,Tajik,Document Details
th,Thai,Document Details
ti,Tigrinya,Document Details
tk,Turkmen,Document Details
tl,Tagalog,Document Details
tn,Tswana,Document Details
to,Tonga,Document Details
tr,Turkish,Document Details
ts,Tsonga,Document Details
tt,Tatar,Document Details
tw,Twi,Document Details
ty,Tahitian,Document Details
ug,"Uighur, Uyghur",Document Details
uk,Ukrainian,Document Details
ur,Urdu,Document Details
uz,Uzbek,Document Details
ve,Venda,Document Details
vi,Vietnamese,Document Details
vo,Volapük,Document Details
wa,Walloon,Document Details
wo,Wolof,Document Details
xh,Xhosa,Document Details
yi,Yiddish,Document Details
yo,Yoruba,Document Details
za,"Zhuang, Chuang",Document Details
zh,Chinese,Document Details
zu,Zulu,Document Details
